category,question,choice_a,choice_b,choice_c,choice_d,answer,source
Analysis of Financial Performance,What is the primary role of finance in the economy?,Providing goods and services,Managing government policies,"Providing funds to individuals, businesses, and governments",Implementing market regulations,C,"pdf3, Analysis of Financial Performance (para 417)"
Analysis of Financial Performance,What is the purpose of financial institutions like banks in the economy?,Generating profits for shareholders,Expanding the economy by directing funds from savers to borrowers,Issuing stocks and bonds,Providing public goods and services,B,"pdf3, Analysis of Financial Performance (para 421)"
Analysis of Financial Performance,What does public finance focus on?,Corporate financial management,Financial roles of banks,Government's financial activities,Stock market regulations,C,"pdf3, Analysis of Financial Performance (para 425)"
Analysis of Financial Performance,Financial performance analysis is primarily performed by professionals using:,Economic forecasts,Reports based on ratios from financial statements,Market trends analysis,Political assessments,B,"pdf3, Analysis of Financial Performance (para 429)"
Analysis of Financial Performance,What does the income statement primarily focus on in financial analysis?,Cash flow,Financial stability,Profitability and results of operations,Long-term investments,C,"pdf3, Analysis of Financial Performance (para 433)"
Analysis of Financial Performance,"In financial analysis, what does the balance sheet provide information about?",Cash flow,Long-term investments,Overall financial condition at a specific point in time,Profitability trends over time,C,"pdf3, Analysis of Financial Performance (para 437)"
Analysis of Financial Performance,What is the purpose of calculating financial ratios in financial performance analysis?,To determine the market share,To compare and contrast with other companies in the industry,To predict economic trends,To assess political influences,B,"pdf3, Analysis of Financial Performance (para 441)"
Analysis of Financial Performance,What is mentioned as a limitation of financial statement analysis in the conclusion?,Limited availability of financial data,Different accounting methods adopted by different firms,Lack of financial institutions' cooperation,Inability to predict market fluctuations,B,"pdf3, Analysis of Financial Performance (para 445)"
Analysis of Financial Performance,Which step in financial performance analysis involves examining the cash flow statement to understand how cash is obtained and used by the business?,Step 5,Step 7,Step 9,Step 12,B,"pdf3, Analysis of Financial Performance (para 449)"
Analysis of Financial Performance,What is the primary focus of liquidity ratios in financial analysis?,Profitability,Long-term stability,Ability to meet short-term obligations,Market share,C,"pdf3, Analysis of Financial Performance (para 452)"
Analysis of Financial Performance,What is the primary purpose of reviewing the dividend payout in financial analysis?,Assessing long-term stability,Determining short-term profitability,Evaluating market trends,Understanding the company's dividend policies and long-term strategies,D,"pdf3, Analysis of Financial Performance (para 456)"
Analysis of Financial Performance,What does the conclusion emphasize regarding financial statement analysis?,It is the only tool for investment decisions.,It is not a major tool in financial analysis.,Different accounting methods can affect results.,It provides absolute certainty in investment decisions.,C,"pdf3, Analysis of Financial Performance (para 460)"
Analysis of Financial Performance,"What is the main purpose of financial analysis, as mentioned in the passage?",Assessing the company's popularity,Determining the company's health and stability,Predicting short-term market fluctuations,Evaluating the company's marketing strategies,B,"pdf3, Analysis of Financial Performance (para 465)"
Analysis of Financial Performance,"What role does finance play in the economy, according to the passage?",Providing credit to individuals only,Limiting the expansion of the economy,Directing funds from borrowers to savers,"Expanding the economy by providing funds to individuals, businesses, and governments",D,"pdf3, Analysis of Financial Performance (para 470)"
Analysis of Financial Performance,"What is the primary focus of public finance, according to the passage?",Corporate financial management,Providing public goods and services,Stock market regulations,Financing technology companies,B,"pdf3, Analysis of Financial Performance (para 474)"
Analysis of Financial Performance,"What does liquidity, in the context of financial analysis, refer to?",Ability to maintain positive cash flow,Ability to pay long-term obligations,Ability to sustain growth in the long-term,Ability to issue stocks or negotiate for a bank loan,A,"pdf3, Analysis of Financial Performance (para 479)"
Analysis of Financial Performance,"According to the passage, what is the purpose of examining the cash flow statement in financial analysis?",To assess the company's profitability,To understand how cash is obtained and used by the business,To determine the market price of the company's stock,To evaluate the company's long-term stability,B,"pdf3, Analysis of Financial Performance (para 484)"
Analysis of Financial Performance,"What does stability, in the context of financial performance analysis, refer to?",The company's ability to earn income,The company's ability to remain in business in the long run,The company's ability to maintain positive cash flow,The company's ability to raise funds through investors,B,"pdf3, Analysis of Financial Performance (para 489)"
Analysis of Financial Performance,How can financial analysts assess a company's stability according to the passage?,By examining the income statement only,By examining the balance sheet only,By using both the income statement and the balance sheet,By relying solely on market data and stock prices,C,"pdf3, Analysis of Financial Performance (para 493)"
Analysis of Financial Performance,What is the purpose of calculating financial ratios in each category in financial performance analysis?,To create industry benchmarks,To predict future economic conditions,To identify internal trends in the company,To replace the need for financial statements,C,"pdf3, Analysis of Financial Performance (para 497)"
Analysis of Financial Performance,"In financial analysis, why is it important to review the market data about the company's stock price and P/E ratio?",To determine the company's profitability,To understand the movements in the stock price over time,To calculate financial ratios,To assess the company's ability to pay dividends,B,"pdf3, Analysis of Financial Performance (para 502)"
Analysis of Financial Performance,"According to the conclusion, what should be considered about financial statement analysis when making an investment decision?",It is the sole tool for making investment decisions.,Different accounting methods may impact results.,It guarantees accurate predictions of market trends.,It replaces the need for market data and stock prices.,B,"pdf3, Analysis of Financial Performance (para 507)"
Variable Cost & Fixed Cost,What are fixed costs?,Costs that vary with output.,Costs that increase at a constant rate.,Costs independent of output.,Costs that are part fixed and part variable.,C,"pdf3, Variable Costs & Fixed Costs (para 515)"
Variable Cost & Fixed Cost,Which of the following is an example of a variable cost?,Rent,Buildings,Wages,Machinery,C,"pdf3, Variable Costs & Fixed Costs (para 519)"
Variable Cost & Fixed Cost,How is Average Total Cost (ATC) calculated?,ATC = VC - FC,ATC = TC / Q,ATC = MC / Q,ATC = Change in TC / Change in Q,B,"pdf3, Variable Costs & Fixed Costs (para 522)"
Variable Cost & Fixed Cost,What is Marginal Cost (MC)?,The total cost of production.,The cost of the last unit produced.,The sum of fixed and variable costs.,The average cost of production.,B,"pdf3, Variable Costs & Fixed Costs (para 525)"
Variable Cost & Fixed Cost,How is Marginal Revenue (MR) calculated for a competitive firm?,MR = Change in TR / Change in Q,MR = P * Q,MR = TC / Q,MR = Market Price,A,"pdf3, Variable Costs & Fixed Costs (para 527)"
Variable Cost & Fixed Cost,"In a competitive market, what is the relationship between Marginal Revenue and market price?",Marginal Revenue is constant and equal to market price.,Marginal Revenue is always higher than market price.,Marginal Revenue is unrelated to market price.,Marginal Revenue is always lower than market price.,A,"pdf3, Variable Costs & Fixed Costs (para 530)"
Variable Cost & Fixed Cost,How does Marginal Revenue behave for monopolies?,Marginal Revenue is constant.,Marginal Revenue is higher than market price.,Marginal Revenue is unrelated to market price.,Marginal Revenue decreases.,D,"pdf3, Variable Costs & Fixed Costs (para 533)"
Variable Cost & Fixed Cost,What does Total Cost (TC) represent?,Only variable costs.,Only fixed costs.,The sum of variable and fixed costs.,The difference between variable and fixed costs.,C,"pdf3, Variable Costs & Fixed Costs (para 535)"
Variable Cost & Fixed Cost,What is the Break-Even Point?,The point where Marginal Revenue equals Marginal Cost.,The point where Total Revenue equals Total Cost.,The point where Fixed Costs are zero.,The point where Variable Costs are zero.,B,"pdf3, Variable Costs & Fixed Costs (para 539)"
Variable Cost & Fixed Cost,How are Mixed Costs defined?,Costs that vary with output.,Costs that are part fixed and part variable.,Costs independent of output.,Costs that increase at a constant rate.,B,"pdf3, Variable Costs & Fixed Costs (para 543)"
Variable Cost & Fixed Cost,What is the Break-Even Point for a product?,The point where Total Revenue equals Variable Cost.,The point where Total Revenue equals Total Cost.,The point where Total Cost is zero.,The point where Variable Cost equals Fixed Cost.,B,"pdf3, Variable Costs & Fixed Costs (para 559)"
Variable Cost & Fixed Cost,How is the Break-Even Point (for output) calculated?,Break-even point (for output) = fixed cost / contribution per unit,Break-even point (for output) = selling price per unit - variable cost per unit,Break-even point (for output) = fixed cost / contribution (per unit) * selling price (per unit),Break-even point (for output) = total fixed costs / (selling price - average variable costs),A,"pdf3, Variable Costs & Fixed Costs (para 564)"
Variable Cost & Fixed Cost,What does the Margin of Safety represent?,The difference between Total Revenue and Total Cost.,The strength of the business in relation to the Break-Even Point.,The percentage of profit gained.,The percentage of Variable Cost in total costs.,B,"pdf3, Variable Costs & Fixed Costs (para 568)"
Variable Cost & Fixed Cost,How is Margin of Safety calculated in terms of current output and Break-Even output?,(current output - breakeven output) / current output,(current output - breakeven output) / current output * 100,(current output + breakeven output) / current output * 100,(current output + breakeven output) / current output,B,"pdf3, Variable Costs & Fixed Costs (para 573)"
Variable Cost & Fixed Cost,"In Cost-Volume-Profit (CVP) analysis, what is the Break-Even Point (BEP)?",The point where Total Revenue is maximum.,The point where Total Revenue equals Total Cost.,The point where Profit is maximum.,The point where Sales mix is constant.,B,"pdf3, Variable Costs & Fixed Costs (para 577)"
Variable Cost & Fixed Cost,Which assumption is NOT part of Cost-Volume-Profit (CVP) analysis?,Constant sales price.,Constant variable cost per unit.,Constant total fixed cost.,Units sold equal units produced.,D,"pdf3, Variable Costs & Fixed Costs (para 580)"
Variable Cost & Fixed Cost,What is the Profit Volume Ratio in CVP analysis?,(Contribution / Sales) * 100,(Selling Price - Variable Cost) / Total Revenue,(Total Fixed Costs - Total Variable Costs) / Sales,(Break-Even Point - Total Revenue) / Total Cost,A,"pdf3, Variable Costs & Fixed Costs (para 583)"
Variable Cost & Fixed Cost,What is the purpose of Break-Even analysis in businesses?,To determine the maximum profit achievable.,To analyze potential profitability and decide whether to sell a product.,To calculate the Total Revenue for a given product.,To identify the sales mix for different products.,B,"pdf3, Variable Costs & Fixed Costs (para 585)"
Variable Cost & Fixed Cost,How is the Break-Even quantity calculated in the example provided?,Total fixed costs / (selling price - average variable costs),Selling Price x Quantity = Fixed Cost + Quantity x Variable Cost,Total Income (Net profit) = Total expenses (costs),Quantity x (SP - V) = FC,A,"pdf3, Variable Costs & Fixed Costs (para 588)"
Variable Cost & Fixed Cost,Which factor is NOT considered in Cost-Volume-Profit (CVP) analysis assumptions?,Behaviour of both costs and revenues is linear.,Changes in activity are the only factors affecting costs.,Units produced are greater than units sold.,Constant sales mix.,C,"pdf3, Variable Costs & Fixed Costs (para 591)"
Revenue and Profit Analysis and Forecasting,What is the primary purpose of cost and revenue analysis for managers in both public and private sectors?,Evaluating employee performance,Forecasting future demand,Ensuring financial sustainability,Identifying market trends,C,"pdf3, Revenue and Profit Analysis and Forecasting (para 605)"
Revenue and Profit Analysis and Forecasting,What key questions can managers address through cost and revenue analysis?,How to increase employee satisfaction,What portion of costs is covered by service revenues,Which marketing strategies are most effective,When to launch a new product,B,"pdf3, Revenue and Profit Analysis and Forecasting (para 609)"
Revenue and Profit Analysis and Forecasting,"In profit analysis, which of the following is NOT a factor affecting multi-product profit measurement?",Sales prices,Unit costs,Staffing patterns,Sales volume,C,"pdf3, Revenue and Profit Analysis and Forecasting (para 614)"
Revenue and Profit Analysis and Forecasting,What is the primary goal of qualitative forecasting methods?,Providing numerical projections,Assigning a margin of error to forecasts,Relaying on historical trends,Making judgments about future revenue collection,D,"pdf3, Revenue and Profit Analysis and Forecasting (para 618)"
Revenue and Profit Analysis and Forecasting,What is the main assumption underlying time series forecasting methods?,Patterns associated with past values can project future values,Judgmental approaches are the most reliable,Consensus forecasting is the best method,Political pressure should guide estimates,A,"pdf3, Revenue and Profit Analysis and Forecasting (para 623)"
Revenue and Profit Analysis and Forecasting,"What is the primary goal of Collaborative Planning, Forecasting, and Replenishment (CPFR)?",Reducing employee turnover,Improving customer services,Maximizing profits,Enhancing workplace diversity,B,"pdf3, Revenue and Profit Analysis and Forecasting (para 627)"
Revenue and Profit Analysis and Forecasting,"According to the text, what is one weakness of qualitative forecasting methods?",They provide a rigorous specification of underlying assumptions,They rely too much on numerical data,They often incorporate false correlations,They are unaffected by anchoring events,C,"pdf3, Revenue and Profit Analysis and Forecasting (para 631)"
Revenue and Profit Analysis and Forecasting,What is the primary purpose of profit analysis in the context of financial sustainability?,Assessing employee satisfaction,Evaluating overall performance from a financial perspective,Identifying market trends,Forecasting future demand,B,"pdf3, Revenue and Profit Analysis and Forecasting (para 635)"
Revenue and Profit Analysis and Forecasting,Which step in the forecasting process involves evaluating the reliability and validity of estimates?,Selecting a time period for data examination,Monitoring actual revenue collections,Examining data for patterns and trends,Evaluating projections for reliability and validity,D,"pdf3, Revenue and Profit Analysis and Forecasting (para 640)"
Revenue and Profit Analysis and Forecasting,What is the underlying assumption of quantitative forecasting methods?,Patterns associated with past values can project future values,Forecasts are seldom accurate,Margins of error are not necessary,Numerical data is irrelevant to revenue sources,A,"pdf3, Revenue and Profit Analysis and Forecasting (para 645)"
Revenue and Profit Analysis and Forecasting,"In quantitative forecasting methods, what does the time series approach rely on for projecting future revenues?",Past trends,Expert opinions,Political events,Wishful thinking,A,"pdf3, Revenue and Profit Analysis and Forecasting (para 650)"
Revenue and Profit Analysis and Forecasting,"What is the main goal of the Collaborative Planning, Forecasting, and Replenishment (CPFR) approach?",Maximizing individual company profits,Reducing the need for forecasting,Improving supply chain optimization,Eliminating the need for financial analysis,C,"pdf3, Revenue and Profit Analysis and Forecasting (para 654)"
Revenue and Profit Analysis and Forecasting,What factor does profit analysis in a quantitative forecasting context NOT typically consider?,Unit costs,Sales volume,Sales mix,Employee satisfaction,D,"pdf3, Revenue and Profit Analysis and Forecasting (para 659)"
Revenue and Profit Analysis and Forecasting,Which forecasting method is more likely to be used for revenue sources with a high degree of uncertainty?,Quantitative forecasting,Time series forecasting,Qualitative forecasting,Causal modeling,C,"pdf3, Revenue and Profit Analysis and Forecasting (para 664)"
Revenue and Profit Analysis and Forecasting,What is the primary goal of the forecasting process mentioned in the text?,Maximizing profits,Avoiding stockouts,Ensuring the long-term viability of the organization,Eliminating the need for financial analysis,C,"pdf3, Revenue and Profit Analysis and Forecasting (para 667)"
Telecom Strategy Concepts,"What is strategy, and why is it of military origin?",A plan of action; concerned with tactics,A set of rules; concerned with strategy,A goal-setting process; concerned with objectives,A decision-making process; concerned with evaluation,C,"pdf3, Telecom Strategy Concepts (para 674)"
Telecom Strategy Concepts,"In game theory, what does a strategy refer to?",The player's objectives,The conduct of engagement,One of the options a player can choose,The rules of the game,C,"pdf3, Telecom Strategy Concepts (para 678)"
Telecom Strategy Concepts,Which of the following is NOT a reason why strategic management is necessary?,Provides a framework for thinking about the business,Creates a fit between the organization and its external environment,Encourages random decision-making,"Fosters anticipation, innovation, and excellence",C,"pdf3, Telecom Strategy Concepts (para 682)"
Telecom Strategy Concepts,What does strategic management seek to answer?,When should organizations change their strategies?,How and why do some firms outperform others?,Where should organizations focus their resources?,Why do organizations need to set long-term objectives?,B,"pdf3, Telecom Strategy Concepts (para 685)"
Telecom Strategy Concepts,What is the key component of any strategy statement?,Setting quantitative targets,Evaluating the organizational environment,Setting the long-term objectives of the organization,Aiming in context with the divisional plans,C,"pdf3, Telecom Strategy Concepts (para 688)"
Telecom Strategy Concepts,What does the process of strategy formulation involve?,Five main steps,Six main steps,Seven main steps,Eight main steps,B,"pdf3, Telecom Strategy Concepts (para 691)"
Telecom Strategy Concepts,What does SWOT analysis stand for?,"Strengths, Weaknesses, Opportunities, Threats","Strategies, Weaknesses, Opportunities, Tactics","Strengths, Weaknesses, Operations, Threats","Strategies, Weaknesses, Opportunities, Trends",A,"pdf3, Telecom Strategy Concepts (para 694)"
Telecom Strategy Concepts,What does suitability deal with in corporate strategy?,The overall rationale of the strategy,The cost of implementing the strategy,The timeline for strategy execution,The acceptance of the strategy in the market,A,"pdf3, Telecom Strategy Concepts (para 697)"
Telecom Strategy Concepts,What tools can be used to evaluate suitability?,Decision trees and economic analysis,SWOT analysis and ranking strategic options,Performance analysis and quantitative targets,Aiming in context with the divisional plans and feasibility analysis,B,"pdf3, Telecom Strategy Concepts (para 700)"
Telecom Strategy Concepts,What does acceptability in strategic management primarily concern?,Resource availability,Stakeholder expectations,Competitive advantage,Cost-benefit analysis,B,"pdf3, Telecom Strategy Concepts (para 710)"
Telecom Strategy Concepts,"What does ""Risk"" in the context of acceptability deal with?",Probability and consequences of failure,Stakeholder mapping,Cash flow analysis,Resource deployment analysis,A,"pdf3, Telecom Strategy Concepts (para 712)"
Telecom Strategy Concepts,Which tool is used to anticipate likely reactions of stakeholders in strategic management?,What-if analysis,Cash flow analysis,Stakeholder mapping,Break-even analysis,C,"pdf3, Telecom Strategy Concepts (para 715)"
Telecom Strategy Concepts,What is a key assumption of the Industrial Organizational Approach to strategic management?,Bounded rationality,Profit suboptimality,Rationality and profit maximization,Satisfying behavior,C,"pdf3, Telecom Strategy Concepts (para 718)"
Telecom Strategy Concepts,Which company is mentioned as an example of the Sociological Approach to strategic management?,Microsoft,Google,Apple,IBM,B,"pdf3, Telecom Strategy Concepts (para 721)"
Telecom Strategy Concepts,What is the primary focus of corporate strategy?,Aggregated strategies of a single business firm,Day-to-day operational activities,Overarching strategy of the diversified firm,Short-term plans and limited domain responsibilities,C,"pdf3, Telecom Strategy Concepts (para 723)"
Telecom Strategy Concepts,"According to Michael Porter, what must a firm formulate to achieve a sustainable competitive advantage?",Functional strategies,Operational strategies,Business strategy,Acceptability analysis,C,"pdf3, Telecom Strategy Concepts (para 726)"
Telecom Strategy Concepts,Which of the following is NOT one of the four key organizational hurdles to executing a strategic plan?,Cognitive hurdle,Motivational hurdle,Technological hurdle,Political hurdle,C,"pdf3, Telecom Strategy Concepts (para 733)"
Telecom Strategy Concepts,"What does ""Failure to understand the customer"" involve?",Inability to predict environmental reaction,Over-estimation of resource competence,Cognitive hurdle,Motivational hurdle,A,"pdf3, Telecom Strategy Concepts (para 736)"
Telecom Strategy Concepts,What is the systematic way of examining all the activities a firm performs and how they interact?,SWOT analysis,PESTEL analysis,Value chain,Competitive advantage mapping,C,"pdf3, Telecom Strategy Concepts (para 740)"
Telecom Strategy Concepts,"According to the text, what is one of the typical causes of innovations that shift competitive advantage?",Poor communication,Internal resistance to change,New technologies,Inadequate marketing research,C,"pdf3, Telecom Strategy Concepts (para 743)"
Telecom Strategy Concepts,What is emphasized by the value chain framework in gaining competitive advantage?,Great products or services only,Innovation in technology,The overall value system,Cost minimization strategies,C,"pdf3, Telecom Strategy Concepts (para 748)"
Telecom Strategy Concepts,"What is described as the ""linearity trap"" in strategic management?",Sequential approach to strategy elements,Fluidity in strategy,Group think in strategy,Bounded rationality in strategy 7.15 CONCLUSION:,A,"pdf3, Telecom Strategy Concepts (para 751)"
Telecom Strategy Concepts,"According to the conclusion, what is the essence of being ""strategic""?",Linear adherence to detailed plans,Intelligent trial-and-error,Comprehensive analysis of consequences,Blueprint approach to management,B,"pdf3, Telecom Strategy Concepts (para 755)"
Broadband and MPLS Network,What is the core infrastructure of BSNL's Broadband service called?,National Broadband Network (NBN),Broadband Internet Backbone (BIB),National Internet Backbone (NIB),Broadband Access Network (BAN),C,"pdf3, Broadband and MPLS Network (para 767)"
Broadband and MPLS Network,Which of the following is a feature of BSNL's National Internet Backbone (NIB)?,Limited range of Internet access services,Lack of support for VPN services,On-line measurement and monitoring of network parameters,No support for value-added services,C,"pdf3, Broadband and MPLS Network (para 770)"
Broadband and MPLS Network,What types of VPN services are supported by NIB?,Only Layer-2 VPN,Only Layer-3 VPN,Both Layer-2 and Layer-3 VPN,No support for VPN services,C,"pdf3, Broadband and MPLS Network (para 773)"
Broadband and MPLS Network,What is NOT a value-added service offered by NIB?,Encryption Services,Messaging Services,Internet Data Centre Services,Dialup Services,D,"pdf3, Broadband and MPLS Network (para 776)"
Broadband and MPLS Network,In which cities will BBRAS (Broadband Remote Access Server) be initially deployed?,"A1, A2, A3, A4","B1, B2","Both A1, A2, A3, A4 and B1, B2",None of the above,A,"pdf3, Broadband and MPLS Network (para 779)"
Broadband and MPLS Network,What technology is used for connecting Tier2 to Tier1 in the LAN Switch?,Fast Ethernet (FE),Gigabit Ethernet (GE),Single-mode Fiber (SMF),Ethernet over SDH,B,"pdf3, Broadband and MPLS Network (para 782)"
Broadband and MPLS Network,"How are DSLAMs in B1, B2, and other lower hierarchical cities aggregated?",Through Layer 2 switches,Through Gigabit Ethernet Interface,Through Fast Ethernet Interface,Through DSL CPEs,A,"pdf3, Broadband and MPLS Network (para 785)"
Broadband and MPLS Network,What is the purpose of the BRAS (Broadband Remote Access Server)?,Terminate PPP sessions and extend connections to MPLS VPN/Internet,Provide DSL services to customers,Monitor network parameters,Manage AAA services,A,"pdf3, Broadband and MPLS Network (para 788)"
Broadband and MPLS Network,"Which project of NIB focuses on Messaging, Storage, Provisioning, Billing, Security, and other management services?",Project 1,Project 2.1,Project 2.2,Project 3,D,"pdf3, Broadband and MPLS Network (para 791)"
Broadband and MPLS Network,What is the average span length of copper wire for last mile access provided by PSTN exchanges?,1 km,2 km,3 km,5 km,C,"pdf3, Broadband and MPLS Network (para 793)"
Broadband and MPLS Network,What is the role of BNG (Broadband Network Gateway) in BSNL's Broadband Multiplay network?,Provides connectivity from BNG to Tier-2 network,Connects Multiplay Network to NIB2 Backbone,DSLAM aggregator,Provides DSL services to customers,B,"pdf3, Broadband and MPLS Network (para 804)"
Broadband and MPLS Network,What type of topology is used for T1 and T2 in Broadband Multiplay?,Star Topology,Ring Topology,Mesh Topology,Bus Topology,B,"pdf3, Broadband and MPLS Network (para 807)"
Broadband and MPLS Network,How is the connectivity provided from BNG to Tier-2 network?,RPR Tier-1 Switch,OC LAN Tier-2 Switch,RPR Tier-2 Switch,DSLAM,A,"pdf3, Broadband and MPLS Network (para 809)"
Broadband and MPLS Network,"In Broadband Multiplay, what technology is used to connect IP-DSLAM?",Fast Ethernet (FE),Gigabit Ethernet (GE),Single-mode Fiber (SMF),DSL CPEs,B,"pdf3, Broadband and MPLS Network (para 812)"
Broadband and MPLS Network,"In the context of Broadband Multiplay, what is the role of RPR Tier-1 Switch?",Connects Multiplay Network to NIB2 Backbone,Provides connectivity from BNG to Tier-2 network,Aggregates DSLAMs,Connects BNG to OC LAN Tier-2 Switch,A,"pdf3, Broadband and MPLS Network (para 815)"
Broadband and MPLS Network,How has the topology changed in Broadband Multiplay compared to Broadband?,Star to Mesh Topology,Ring to Star Topology,Star to Ring Topology,Bus to Ring Topology,C,"pdf3, Broadband and MPLS Network (para 818)"
Broadband and MPLS Network,"In MPLS architecture, what is the role of a Label Edge Router (LER)?",Transit switch in MPLS cloud,Entry point of MPLS domain,Gateways of MPLS Domain,Egress Router in MPLS domain,C,"pdf3, Broadband and MPLS Network (para 820)"
Broadband and MPLS Network,What does LER stand for in MPLS architecture?,Label Edge Router,Label Entry Router,Layer Edge Router,Layer Entry Router,A,"pdf3, Broadband and MPLS Network (para 823)"
Broadband and MPLS Network,What is the purpose of Label Switched Routers (LSRs) in MPLS?,Transit switches in MPLS cloud,Entry points of MPLS domain,Gateways of MPLS Domain,Egress Routers in MPLS domain,A,"pdf3, Broadband and MPLS Network (para 825)"
Broadband and MPLS Network,What is the term for the data path between two routers in MPLS architecture?,Label Switched Path (LSP),Forward Equivalence Class (FEC),Label Binding,MPLS Domain Path,A,"pdf3, Broadband and MPLS Network (para 828)"
Broadband and MPLS Network,What is the role of LER (Label Edge Router) in MPLS architecture?,Entry point of MPLS domain,Transit switch in MPLS cloud,Gateways of MPLS Domain,Egress Router in MPLS domain,A,"pdf3, Broadband and MPLS Network (para 839)"
Broadband and MPLS Network,What is Forward Equivalence Class (FEC) in MPLS?,A representation of a group of packets sharing the same requirements,A layer between Network layer and Data Link Layer,An IP address assigned to a packet,A type of label in MPLS,A,"pdf3, Broadband and MPLS Network (para 842)"
Broadband and MPLS Network,What is the primary function of a label in MPLS?,Identifies the path a packet should traverse,Represents the IP address of the destination,Serves as a unique identifier for the customer edge,Determines the class of service requirement,A,"pdf3, Broadband and MPLS Network (para 845)"
Broadband and MPLS Network,"In MPLS, what does LIB stand for?",Label Information Base,Label Inclusion Buffer,Label Identification Block,Layered Information Binding,A,"pdf3, Broadband and MPLS Network (para 847)"
Broadband and MPLS Network,What is the purpose of the Label Information Base (LIB) in MPLS?,It contains the mapping information of Incoming label & LSP with outgoing Label & LSP,It represents a group of packets sharing the same requirements,It encapsulates labels in a Data Link Layer 2 header,It serves as a private data network,A,"pdf3, Broadband and MPLS Network (para 851)"
Broadband and MPLS Network,What is a Virtual Private Network (VPN) in the context of MPLS?,A private data network without tunnels,A public data network without switching paths,A private data network carved out from the public data network,A network that supports only Layer 2 services,C,"pdf3, Broadband and MPLS Network (para 854)"
Broadband and MPLS Network,Which VPN model supports direct IP routing between Customer Edges (CEs)?,Overlay VPN Model,Peer VPN Model,MPLS VPN Model,Hub-and-Spoke VPN Model,A,"pdf3, Broadband and MPLS Network (para 857)"
Broadband and MPLS Network,"In the Peer VPN Model, which device performs Layer 3 functions?",Label Edge Router (LER),Customer Edge (CE),Provider Edge (PE),Label Switching Router (LSR),C,"pdf3, Broadband and MPLS Network (para 860)"
Broadband and MPLS Network,What is the role of Customer Edge (CE) in a Layer 3 VPN?,Performs Layer 2 services,Configures IP addresses for Branch Offices,Adds VPN headers to designated IP addresses,Acts as a gateway of IP backbone,C,"pdf3, Broadband and MPLS Network (para 863)"
Broadband and MPLS Network,What does VFI stand for in the context of MPLS VPN?,Virtual Forwarding Information,VPN Forwarding Information,Virtual Function Identifier,VPN Function Identifier,B,"pdf3, Broadband and MPLS Network (para 866)"
Broadband and MPLS Network,"In MPLS, what is the role of the Label Edge Router (LER) when receiving a destined IP packet?",Assigns the appropriate Label and sends it to the next hop,Strips the label and routes the IP packets towards the destined CE,Consults the LIB and assigns a new label to the packet,Forwards the IP packet without any changes,C,"pdf3, Broadband and MPLS Network (para 877)"
Broadband and MPLS Network,What does FEC stand for in MPLS?,Forwarding Edge Class,Forwarding Equivalence Class,Forwarding Entry Code,Forwarding Enhancement Circuit,B,"pdf3, Broadband and MPLS Network (para 880)"
Broadband and MPLS Network,What is the function of the MPLS Shim Layer?,Binds the MPLS Label over the IP packet,Routes packets based on IP addresses,Strips out the Incoming Label,Creates tunnels for VPNs,A,"pdf3, Broadband and MPLS Network (para 883)"
Broadband and MPLS Network,What is the purpose of the Label Information Base (LIB) in MPLS?,Maps Incoming label & LSP to outgoing Label & LSP,Maintains Class of service requirement,Routes IP packets through the MPLS domain,Provides QoS for IP packets,A,"pdf3, Broadband and MPLS Network (para 886)"
Broadband and MPLS Network,Which type of VPN model supports direct IP routing between CEs using Service Provider Backbone?,Overlay VPN Model,Peer VPN Model,MPLS VPN Model,Virtual Private Backbone Model,A,"pdf3, Broadband and MPLS Network (para 889)"
Broadband and MPLS Network,"In the Overlay VPN Model, where does the VPN logic (L3 functions) reside?",Provider Edge (PE),Customer Edge (CE),MPLS Shim Layer,Label Edge Router (LER),B,"pdf3, Broadband and MPLS Network (para 892)"
Broadband and MPLS Network,"In the Peer VPN Model, which device performs Layer3 functions?",Provider Edge (PE),Customer Edge (CE),Label Switch Router (LSR),Broadband Network Gateway (BNG),A,"pdf3, Broadband and MPLS Network (para 895)"
Broadband and MPLS Network,What is VPN Forwarding Information (VFI) in the context of MPLS VPN?,Mapping of Incoming label & LSP,Information about Layer3 functions,Routing and forwarding information available with PE (LER),QoS requirements for VPNs,C,"pdf3, Broadband and MPLS Network (para 899)"
Project Udaan & CFA Structure,What is the primary responsibility of the GM (Business Planning) – CFA at BSNL Corporate Office?,Designing network assets,Articulation of overall business aspiration and strategy,Managing customer service,Execution of rural network projects,B,"pdf3, Project Udaan and CFA Structure (para 913)"
Project Udaan & CFA Structure,The role of DGM (Products & Pricing) – CFA involves:,Network planning,"Design, pricing, and bundling of CFA products",Maintenance of network assets,Implementation of revenue management policies,B,"pdf3, Project Udaan and CFA Structure (para 916)"
Project Udaan & CFA Structure,What does the GM (Customer Service) – CFA at Corporate level manage?,Pricing and bundling of products,Maintenance and operations of network assets,Customer service for CFA business unit,Rural network planning,C,"pdf3, Project Udaan and CFA Structure (para 919)"
Project Udaan & CFA Structure,The Head of Consumer Fixed Access at Circle is responsible for:,Articulation of overall business aspiration,Achieving profitable and sustainable growth in the Circle,Design and pricing of CFA products,Execution of rural network projects,B,"pdf3, Project Udaan and CFA Structure (para 923)"
